date,amount,currency,category,subcategory,tags,note
2024-08-01,4500.00,PEN,Ingresos,Salario,,Sueldo agosto
2024-08-02,-285.50,PEN,Alimentación,Supermercados y bodegas,,Compras Wong
2024-08-03,-45.00,PEN,Transporte,Taxis y apps,,Uber centro
2024-08-04,-89.90,PEN,Alimentación,Restaurantes,Social,Almuerzo amigos
2024-08-05,-1200.00,PEN,Hogar,Alquiler o hipoteca,Fijo,Alquiler agosto
2024-08-06,-65.00,PEN,Personal,Telefonía y comunicaciones,Fijo,Plan celular
2024-08-07,-42.50,PEN,Alimentación,Delivery,,Rappi cena
2024-08-08,-320.00,PEN,Alimentación,Supermercados y bodegas,,Compras Metro
2024-08-09,-150.00,PEN,Hogar,Servicios del hogar,Fijo,Luz agosto
2024-08-10,-85.00,PEN,Hogar,Servicios del hogar,Fijo,Agua agosto
2024-08-11,-55.00,PEN,Entretenimiento,Streaming y plataformas,Fijo,Netflix Spotify
2024-08-12,-180.00,PEN,Personal,Fitness y actividad física,Fijo,Gym agosto
2024-08-13,-78.00,PEN,Transporte,Transporte público,,Recarga tarjeta
2024-08-14,-125.00,PEN,Compras,Farmacia y botiquín,,Medicinas
2024-08-15,-290.00,PEN,Alimentación,Supermercados y bodegas,,Compras semanales
2024-08-16,-35.00,PEN,Alimentación,Delivery,,PedidosYa
2024-08-17,-200.00,PEN,Mascotas y animales,Alimentación de mascotas,,Comida Rocky
2024-08-18,-95.00,PEN,Entretenimiento,Bares y salidas sociales,Social,Cervecería
2024-08-19,-450.00,PEN,Personal,Salud y atención médica,,Consulta médica
2024-08-20,-68.00,PEN,Transporte,Taxis y apps,,Uber varios
2024-08-21,-310.00,PEN,Alimentación,Supermercados y bodegas,,Plaza Vea
2024-08-22,-48.00,PEN,Alimentación,Restaurantes,,Pollería
2024-08-23,-120.00,PEN,Entretenimiento,Espectáculos y eventos,Social,Cine
2024-08-24,-85.00,PEN,Compras,Cuidado personal y belleza,,Productos
2024-08-25,-275.00,PEN,Alimentación,Supermercados y bodegas,,Compras
2024-08-26,-55.00,PEN,Transporte,Taxis y apps,,InDriver
2024-08-27,-140.00,PEN,Alimentación,Restaurantes,Social,Cena viernes
2024-08-28,-95.00,PEN,Mascotas y animales,Servicios y cuidados,,Baño Rocky
2024-08-29,-38.00,PEN,Alimentación,Delivery,,Comida china
2024-08-30,-62.00,PEN,Compras,Otros,,Varios
2024-08-31,-185.00,PEN,Personal,Belleza y estética,,Corte pelo
2024-08-15,1200.00,USD,Ingresos,Facturación y freelance,,Proyecto cliente US
2024-08-20,-85.00,USD,Compras,Tecnología y accesorios,,Amazon cables
2024-08-25,-45.00,USD,Entretenimiento,Streaming y plataformas,Fijo,Servicios US
2024-08-28,-120.00,USD,Personal,Suscripciones de utilidad,Fijo,Software anual
2024-09-01,4500.00,PEN,Ingresos,Salario,,Sueldo septiembre
2024-09-02,-298.00,PEN,Alimentación,Supermercados y bodegas,,Wong
2024-09-03,-1200.00,PEN,Hogar,Alquiler o hipoteca,Fijo,Alquiler
